0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Taking information security into account in the BCM or the disaster recovery process, where available.
+ Information security measures for events of crisis are tested regularly.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ The persons responsible for information security (see Control 6.1) are part of the crisis management team.
+ The redundancy in the field of IT facilities and IT systems (availability aspects) is ensured.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
18,18 Compliance,,,,,,,,4.0.0
18.1,18.1 Legal and contractual provisions,3,"(Reference to ISO 27001: Control A.18.1.1, A.18.1.2, A.18.1.3, A.18.1.5)",1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent is compliance to relevant legal (country-specific) regulations and contractual requirements ensured (e.g. protection of intellectual property rights, use of encryption technology and protection of records)?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"An essential aspect of compliance is the observation of legal, regulatory, contractual and business-related requirements and specifications. An organization shall know and meet the requirements and specifications of relevance to it. This also includes consideration of intellectual property rights. Additionally, requirements for records regarding their protection against loss, destruction, forgery, unauthorized access and unauthorized disclosure shall be met. Also, cryptographic measures shall be implemented while observing the relevant agreements, legislation and provisions.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Legal, regulatory and contractual requirements and specifications of relevance to information security, such as e.g. in relation to copyright, are determined regularly.
+ Regulations regarding the compliance with legal, regulatory and contractual requirements are defined, implemented and communicated to the entrusted persons.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Measures for fulfilling the requirements regarding intellectual property rights and the use of software products protected by copyright (acquisition and license management) are defined and implemented.
+ Staff awareness measures with respect to compliance topics associated with information security are carried out regularly.
+ The integrity of records in accordance with legal, regulatory and contractual obligations and business requirements as well as classification (access protection, storage) is taken into account.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
18.2,18.2 Confidentiality and protection of personally identifiable data,3,(Reference to ISO 27001: Control A.18.1.4),1,1,,3,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent is confidentiality and the protection of personally identifiable information ensured (according to national legislation)?
</h1>",,,,,,
,,,,,,,,,
,,,"<b><i>Note: In case of commissioned data processing according to Art. 28 DSGVO, the module „Data protection (24)“ must be included and evaluated.</i></b>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Privacy and protection of personally identifiable information shall be ensured as required in relevant legislation and regulations, where applicable. For this purpose, processes and procedures ensuring adequate protection of personally identifiable information shall be implemented.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Legal and contractual requirements regarding the procedures and processes in the processing of personally identifiable information are determined.
+ Information assets are classified according to personally identifiable information.
+ Regulations regarding the compliance with legal and contractual requirements for the protection of personally identifiable information are defined and communicated to the entrusted persons.
+ Processes and procedures for the protection of personally identifiable information are implemented.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
18.3,18.3 Audit of the ISMS by independent bodies,3,(Reference to ISO 27001: Control A.18.2.1),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is the ISMS reviewed by an independent third party at regular intervals or in case of significant changes?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Assessing the effectiveness of the ISMS only from an internal point of view is not sufficient to serve as an essential control tool. Instead, an independent and therefore objective assessment shall be obtained at regular intervals and in case of significant changes.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Information security reviews are carried out by an independent and competent body at regular intervals and in case of significant changes.
+ Measures for correcting potential deviations are initiated and pursued.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The results of the conducted reviews are recorded and retained.
+ The results of the conducted reviews are reported to the management of the organization.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
18.4,18.4 Efficiency test,3,"(Reference to ISO 27001: Control A.18.2.2, A.18.2.3)",1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent is the compliance of procedures and processes with policies, regulations and other relevant information security standards ensured?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The effectiveness of policies, regulations and relevant information security standards shall be continuously ensured. For this purpose, compliance with the applicable security policies and standards shall be verified at regular intervals. This also includes verification of compliance with technical specifications of the information security policies. The results of the conducted reviews shall be recorded and the records shall be retained.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Compliance with policies, regulations and information security standards is monitored.
+ Information security regulations and procedures are reviewed throughout the organization at regular intervals.
+ Measures for correcting potential non-conformities (deviations) are initiated and pursued.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The results of the conducted reviews are recorded and retained.
+ A plan for content and framework conditions (time schedule, extent, controls) of the reviews to be conducted is provided.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
23,23 Connection to 3rd parties,,,,,,,,4.0.0
23.7,23.7 Human Resources Security,,,,,,,,4.0.0
23.7.2,23.7.2 Awareness and training of employees,3,(Reference to ISO 27001: Control A.7.2.1 and A.7.2.2),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is staff (internal and external) made aware of and trained about the risks associated with the handling and processing of information?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information security must be a natural and integral part of the work environment and adopted in the daily work of all employees. By means of information security training, employees must gain the necessary knowledge and competence for security-conscious behaviour. They must be particularly aware of what is expected of them with respect to information security and how to respond to security-critical situations.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Employees having access to customer networks have received the necessary training and awareness for handling the associated security risks.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
23.9,23.9 Access Control,,,,,,,,4.0.0
23.9.2,23.9.2 User registration,3,"(Reference to ISO 27001: Control A.9.2.1, A.9.2.2, A.9.2.4 and A.9.2.5)",1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent are procedures for user registration, change and de-registration implemented with the associated access rights and is particularly the authentication information handled confidentially?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The identity of the user of an IT system or an IT application shall be clearly verifiable in order to enable the unambiguous tracing of actions to the user. In order to ensure this, authentication (registration) procedures and mechanisms of IT systems or IT applications shall be designed such that users are clearly identified and authenticated.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ User-related access to customer systems shall not be used by multiple users.
+ Changes to the employment contract or the authority of an employee shall be reported to the system operator immediately or user access shall be adapted accordingly.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
